Data,Alg.,adj_Patn,adj_maxf1,adj_ap,auc,AMI,ireos_java,decision_tree_native,decision_tree_sklearn,random_forest_native,random_forest_sklearn,liblinear,xgboost_tree,xgboost_dart,xgboost_linear,libsvm
complex_2,lof,0.2794937027707808,0.35758892733564,0.6193269032827926,0.6433546599496222,0.1011645652061527,0.04042,0.5194827587878192,0.9530143438818324,0.4845373523969021,0.1625083174482063,0.0020343769685808,0.1261491446281486,0.0499578505229231,0.0019691327219843,0.0050721758826905
complex_2,ocsvm,0.8069586901763224,0.8274130081300813,0.9577032484467638,0.9784730478589422,0.6056547942676795,0.79576,0.512904374277703,0.9269742171617864,0.5025172862642131,0.1626164284064599,0.0022916507499218,0.1253028925314654,0.0425867798256539,0.0021401929803253,0.0019686082834076
complex_3,sdo,0.9984338797814208,0.9992174744027305,0.9999957180561851,0.9999994535519126,0.9921830620034278,0.40462,0.5475347053544699,0.9865530658535924,0.4986083565982695,0.239166330389429,0.0027980624613517,0.1439491937720786,0.0919431984573811,0.0904426148599579,0.2756583228285044
complex_3,abod,0.9765081967213116,0.981308695652174,0.9975557554543336,0.9996478142076504,0.9072489222450928,0.57534,0.5236368066712469,0.9708206676196908,0.5018083308729703,0.1903582477084965,0.00165915783767,0.1307324567999578,0.0570675287261802,0.0359061978693352,0.1174015094980633
complex_3,hbos,0.8919377049180327,0.8946551351351352,0.9753472145694458,0.9946868852459017,0.7292739958838216,0.50715,0.526765558118194,0.9654214280030516,0.5023769885923488,0.2104036862609723,0.0018837525212527,0.1324010321205347,0.0623908961169613,0.0434049728943273,0.1409073080730507
complex_3,iforest,0.9765081967213116,0.9803024054982816,0.9984328889449982,0.9997568306010928,0.9199330855891898,0.43297,0.5353566538014822,0.9735992548171304,0.5012976516382395,0.2249102526029737,0.0022818278697326,0.1371968487818931,0.0748272295280638,0.0633593763670504,0.1947584977752155
complex_3,knn,0.9984338797814208,0.9992164046479836,0.9999978604915049,0.9999994535519126,0.9921830620034278,0.43827,0.5475312943848499,0.986652146687266,0.4981094340227548,0.2385366662919504,0.0027773827721707,0.143932348587833,0.0919887638959117,0.089620514253905,0.2794211219123149
complex_3,lof,0.3124732240437158,0.3732204585537918,0.6665151053502336,0.6756475409836065,0.0995365817601967,0.03025,0.5482610049250766,0.9868701652786448,0.4846107531342966,0.2168288940910268,0.0021907044182597,0.141042438443712,0.0887090507628932,0.0552469393509514,0.2812991408483929
complex_3,ocsvm,0.9827726775956284,0.9835219712525668,0.999296303068487,0.9998472677595628,0.9381513868125902,0.42912,0.5411318367852149,0.9771138938607584,0.50041360484055,0.2304271568111263,0.0024743207414046,0.1405799660080476,0.0829236634170368,0.0759220466976706,0.2286495360273569
complex_4,sdo,0.9819228295819936,0.9847690836653388,0.9904619241210793,0.999616077170418,0.9369034879606014,0.47258,0.5485883534158894,0.9902101578153598,0.4999544963063201,0.2360154711788989,0.0030998753122716,0.1437057197603186,0.092814274768529,0.0695721325886991,0.2575408253820689
complex_4,abod,0.9403453376205788,0.9405365384615384,0.9734362903204388,0.997920578778135,0.8029269387757867,0.69826,0.5211956094956182,0.970339429265136,0.502956903133341,0.1569215576181828,0.0016910008657341,0.1287199649291618,0.0536675720199049,0.0229595266279758,0.1013358772122411
complex_4,hbos,0.6041099678456592,0.6310813124108416,0.7234058493270739,0.95614308681672,0.3336841970361349,0.53756,0.532065640234931,0.9780210365015212,0.5025994468560498,0.1850801429455118,0.0021042436832009,0.1344802976817951,0.0693680983952873,0.0370377722894745,0.160460348738613
complex_4,iforest,0.8626135048231511,0.8865439759036144,0.9184376640812978,0.9931353697749196,0.6805690503542828,0.5159,0.5372484196556603,0.9813401502618708,0.5019313102957632,0.200036268273181,0.0025091523327906,0.1372497130061723,0.0769855655486979,0.0481405072642001,0.1870106390804239
complex_4,knn,0.9909614147909968,0.9918587288817378,0.9880147869084004,0.9996887459807074,0.9649635026026858,0.46451,0.5486942338986437,0.990287730310974,0.4998386607919974,0.2364408902480242,0.0030847805861695,0.1438445753216911,0.0932365323682775,0.069860851336169,0.2611001737697304
complex_4,lof,0.1756810289389067,0.2116145381120645,0.3474480642965936,0.6820456591639872,0.035805988515883,0.02782,0.529889729982851,0.9848287519033728,0.5037034330582426,0.191114786159228,0.0021773022820318,0.1345016898889131,0.0708638326424848,0.0409309656990214,0.1810015251011144
complex_4,ocsvm,0.8626135048231511,0.8752591679506935,0.9074433401364738,0.9886762057877811,0.6805690503542828,0.39295,0.5338621537126766,0.9743858978717206,0.5019181725456876,0.1826376619208719,0.0023024673332116,0.135836471746885,0.0707377281271266,0.0442414899372624,0.1535937120594792
complex_5,sdo,0.8508771241830065,0.8605474358974359,0.8534293925284384,0.9952124183006535,0.6823208997374072,0.4418,0.5530949612490603,0.9748363799165396,0.5005070144400264,0.2428279280430977,0.0032940537374552,0.147016613147512,0.0975632330987708,0.045256788508111,0.3171416280802712
complex_5,abod,0.8127294117647058,0.8510596491228071,0.822843587350535,0.9934196078431372,0.6211006232032203,0.73391,0.513734677860138,0.9273212923574012,0.5056673988845638,0.1734285896286835,0.0013862128918416,0.1261767728364287,0.0435101316864315,0.0101447458055881,0.0805288190194329
complex_5,hbos,0.4902078431372549,0.5684224379719525,0.4487627366868181,0.9652235294117646,0.2517262321631161,0.64468,0.5278525298946553,0.9442778877121932,0.5031909507581656,0.1994024740905687,0.0018210398464252,0.1334812817188364,0.0641601652793312,0.0211333882229155,0.1655081433295895
complex_5,iforest,0.7503058823529412,0.7901752489331437,0.7706297405389034,0.9901450980392156,0.5350654547332739,0.58601,0.536271126338912,0.9593194135598504,0.5018370586256334,0.2144662025294125,0.0023106635665458,0.1377740773081726,0.0753128560051569,0.0287111558832883,0.211900424654827
complex_5,knn,0.9028967320261436,0.9259627906976744,0.8614543527954178,0.9966699346405228,0.7193313501974613,0.51387,0.5515703232067841,0.9731748212451332,0.500883267279857,0.2398109609251462,0.0031308577688532,0.1460925466377828,0.0954784088717886,0.0426810530188404,0.3157256923288172
complex_5,lof,0.1988980392156862,0.2597482926829268,0.4985735311496666,0.6564901960784313,0.0578229894944288,0.03754,0.5510364498688113,0.9832946547104774,0.5127709393717685,0.2245109699876091,0.0015292118129492,0.1456006824721826,0.0944846969771767,0.0171084347425688,0.3664650052883621
complex_5,ocsvm,0.7849856209150328,0.8076374622356495,0.8063236515984147,0.991918954248366,0.5827138940288802,0.68528,0.5468751037695819,0.9725021438215948,0.5007294816770729,0.2325774401222467,0.0028048037505413,0.1434946723609762,0.0904002058240308,0.037553888494857,0.2820069904722537
complex_6,sdo,0.9799529411764706,0.9826501818181818,0.9987374204816436,0.9997826470588236,0.9304413724494652,0.56726,0.5368413109286255,0.9872839741118644,0.499951779549003,0.3060594733794441,0.0018435548598073,0.1373452415589813,0.0777458845185302,0.0251911748418383,0.3375324389481864
complex_6,abod,0.9699294117647058,0.9768163265306122,0.9802235692872362,0.9989252941176472,0.8836454330884014,0.78558,0.5129854961206481,0.9564947810985058,0.5036106526012489,0.2704150053797717,0.0013939863750202,0.1249542983994996,0.0424035577155832,0.0073327546577979,0.0922461141637759
complex_6,hbos,0.5756705882352942,0.6278733448474382,0.6466519066239907,0.9454967647058824,0.3012692042523968,0.62554,0.5210595108640307,0.9740222131056612,0.5028035384137337,0.2793846310949039,0.0017516529841343,0.128807218003592,0.0540066535902895,0.012104843011571,0.1483474173749508
complex_6,iforest,0.8446352941176472,0.8558866052445074,0.9355964716662348,0.9911508823529412,0.6471671026965531,0.65138,0.5240035533170194,0.9749493347077508,0.5020941257988484,0.2831897456448317,0.0017204526767785,0.1303336364632616,0.0588003845745946,0.0147426054021616,0.1838033557829009
complex_6,knn,0.9949882352941176,0.995832721936904,0.999475115128242,0.999934411764706,0.9786013557383656,0.59199,0.5368884347942411,0.9873969520151824,0.4997703728396371,0.3074590905444237,0.0018669563470777,0.1373387067356927,0.077871428477963,0.0253251370804502,0.3461156444247018
complex_6,lof,0.1329647058823529,0.1952818280739934,0.4582992703517526,0.5766005882352941,0.0257079402417425,0.0555,0.5175544606889366,0.976934221066208,0.5077762277047305,0.2947308471715437,0.0016491521611179,0.1263926061550649,0.0496387169642253,0.0093373885372347,0.1956668242300966
complex_6,ocsvm,0.8195764705882354,0.8224739545121056,0.9360537002630344,0.9785602941176472,0.6064985752406139,0.56897,0.5185003342103286,0.9602911201055708,0.502600922315036,0.2796025067109145,0.0014980051976015,0.1280128582763013,0.0502571959612221,0.0116919289941766,0.1361628328751377
